,client,FL,Standalone,random_seed,Centralized,FL_eo,Standalone_eo,Centralized_eo,FL_dp,Standalone_dp,Centralized_dp,FL_eopp,Standalone_eopp,Centralized_eopp,attr
346,20,0.7795,0.7435,3,0.7995,0.6666666666666666,0.4947916666666667,0.625,0.38305084745762713,0.3437539234149404,0.4280435186523256,0.11383108935128516,0.11515924893877438,0.19090647274821804,0
347,20,0.7795,0.7435,3,0.7995,0.23426305715066986,0.11990702761826633,0.13679092019315875,0.24658570782859335,0.1737568288348963,0.22610246033487974,0.09837204351674456,0.07997490280438757,0.13679092019315875,1
348,21,0.804,0.7395,3,0.796,0.5135746606334841,0.6846153846153846,0.5135746606334841,0.35855855855855856,0.47117117117117113,0.34855072463768116,0.1578054298642534,0.296945701357466,0.13800904977375572,0
349,21,0.804,0.7395,3,0.796,0.16175672200474323,0.0505567143850425,0.20080768827804285,0.21748018807797298,0.10336471974698463,0.23261621591287163,0.1095568184183684,0.024667457690626393,0.12124176884059479,1
350,22,0.7635,0.738,3,0.762,0.3392857142857143,0.30000000000000004,0.40354223433242503,0.2798239415886475,0.18315374197727136,0.2854977739888226,0.15063520871143377,0.14996975196612217,0.15625,0
351,22,0.7635,0.738,3,0.762,0.23028543783260758,0.15828825262787521,0.2659468414185396,0.22977732720518992,0.18765301992715147,0.2512772530744233,0.11871839443742094,0.10452486304256214,0.134444795617362,1
352,23,0.7965,0.7615,3,0.8115,0.2634904245642501,0.24908424908424903,0.16262261228704178,0.25532608695652176,0.1884590792838875,0.1894309462915601,0.14868565169769987,0.09581300408244553,0.09693318729463307,0
353,23,0.7965,0.7615,3,0.8115,0.15696044845842416,0.23581438804110866,0.26211460604173153,0.2312146718634024,0.23628920214881216,0.24865599072040098,0.13196154656351133,0.14023631245332158,0.13168195484402223,1
354,24,0.783,0.742,3,0.7835,0.48190045248868785,0.26393110435663625,0.30995475113122173,0.36289726533628974,0.19444444444444442,0.229490022172949,0.16153846153846152,0.096551724137931,0.09404123951537746,0
355,24,0.783,0.742,3,0.7835,0.13943398745160862,0.1390446313353802,0.15259422418012725,0.20183004575114377,0.18018950473761847,0.2149753743843596,0.11592390188834145,0.11530172413793105,0.13251103243021345,1
356,25,0.7535,0.7275,3,0.7625,0.2663316582914573,0.22640982691233946,0.35427135678391963,0.237836225750561,0.15013491635186185,0.20316982418269097,0.1823248407643312,0.08321846183097248,0.09852707006369432,0
357,25,0.7535,0.7275,3,0.7625,0.2038773240108056,0.2236612108692198,0.16097250913713645,0.20042887055677489,0.2005095991321678,0.16714851535104314,0.12611173929186215,0.1348326695244203,0.1014910385796739,1
358,26,0.767,0.715,3,0.757,0.5277777777777778,0.6388888888888888,0.33184764991896276,0.2866666666666666,0.3666666666666667,0.20849210669569948,0.19047619047619047,0.23308270676691722,0.137844611528822,0
359,26,0.767,0.715,3,0.757,0.20260200090575975,0.18417802297336244,0.24658281526616993,0.25680534155110424,0.23948703133025168,0.2637390857729841,0.17985857562916974,0.18217493270793916,0.18126438006911316,1
360,27,0.7865,0.7195,3,0.779,0.5151515151515151,0.5679316888045541,0.44813409234661605,0.33337578716479166,0.3646784122267035,0.2892379537253237,0.16159951159951158,0.22026862026862026,0.14157088122605366,0
361,27,0.7865,0.7195,3,0.779,0.26306444377990434,0.12600927033492826,0.23387036483253587,0.18337627918732144,0.1120952239981231,0.16968495968728572,0.07011249758283755,0.04537895419335025,0.06866333761787213,1
362,28,0.7855,0.7395,3,0.782,0.5490196078431373,0.607843137254902,0.38235294117647056,0.3691796008869179,0.39689578713968954,0.3237250554323725,0.18181818181818177,0.17349094158745637,0.18181818181818177,0
363,28,0.7855,0.7395,3,0.782,0.23062983247422686,0.128698185137457,0.20150746348797255,0.23612095866431126,0.1943366220822868,0.24643785626444586,0.08332719452834136,0.10114578434094734,0.11677423741875526,1
364,29,0.74,0.7325,3,0.7635,0.49217638691322907,0.5724194206446348,0.47128378378378377,0.4089755422242732,0.4005390835579514,0.4232233502538071,0.18604651162790697,0.29718309859154934,0.20251937984496127,0
365,29,0.74,0.7325,3,0.7635,0.28437561007353424,0.12496908960760078,0.22208195049998913,0.26132993130204163,0.16687325689494886,0.25199916290712693,0.11261738304682034,0.07734873560433464,0.13750278436690333,1
366,30,0.8115,0.7565,3,0.8115,0.7145833333333333,0.5238095238095237,0.5238095238095237,0.36495031616982837,0.39999999999999997,0.25781391147244803,0.09922430510665803,0.4022556390977444,0.10216718266253866,0
367,30,0.8115,0.7565,3,0.8115,0.14706428836863616,0.08265979189892236,0.1506178000743218,0.17568813222398563,0.1092955962743872,0.1475937414835121,0.10725466734416234,0.05842990378468749,0.07219426641970861,1
368,31,0.761,0.691,3,0.764,0.3661941112322792,0.35714285714285715,0.4710424710424711,0.2617839749536178,0.2793608009241433,0.3548322255574614,0.09425156516789979,0.25897435897435894,0.17713760343242413,0
369,31,0.761,0.691,3,0.764,0.2206135992415676,0.03214200047973137,0.15051000011422178,0.18761500184002947,0.03829261268180295,0.17625482007712123,0.09442996254681646,0.011191011235955117,0.12055430711610482,1
370,32,0.796,0.7515,3,0.7935,0.5933333333333334,0.749090909090909,0.5533333333333333,0.3353510895883778,0.4219128329297821,0.33625907990314774,0.12135326149924697,0.19652777777777775,0.1300196964430541,0
371,32,0.796,0.7515,3,0.7935,0.1635907951697425,0.03875022010917406,0.1838687628161313,0.20535806471337684,0.09940868024125926,0.21751425171837582,0.11198714562422962,0.03875022010917406,0.12448714562422969,1
372,33,0.7508417508417509,0.696969696969697,3,0.7413019079685746,0.625,0.875,0.5,0.22968537939543487,0.29181306940607427,0.1993584207279457,0.15019762845849804,0.23023715415019763,0.10079051383399207,0
373,33,0.7508417508417509,0.696969696969697,3,0.7413019079685746,0.14364919354838712,0.24664399092970524,0.2189795918367347,0.2250751084900412,0.29286747524201623,0.2346166685211973,0.14364919354838712,0.2206149193548388,0.12827620967741937,1
374,34,0.797,0.7515,3,0.796,0.3609022556390978,0.4609800362976406,0.25563909774436094,0.3468292682926829,0.28297872340425534,0.32682926829268294,0.19354838709677424,0.13472485768500952,0.22580645161290325,0
375,34,0.797,0.7515,3,0.796,0.129960962914769,0.17363370201691614,0.16794079375406634,0.19079150293023123,0.1784957478599097,0.22390331638886551,0.09577439650171793,0.08544018562313149,0.1315737807326759,1
376,35,0.7825,0.7475,3,0.7845,0.7272727272727273,0.5698447893569845,0.24889135254988914,0.42424242424242425,0.24958527653447685,0.24947145877378435,0.2727272727272727,0.12552954292084728,0.18181818181818177,0
377,35,0.7825,0.7475,3,0.7845,0.2578461538461538,0.2566153846153846,0.23364102564102562,0.2220764784571038,0.2690673366210725,0.19420173271660712,0.11039673518360649,0.20255122983170726,0.10105459252944327,1
378,36,0.799,0.735,3,0.796,0.6547619047619048,0.9,0.6547619047619048,0.35113960113960113,0.3240384615384615,0.38817663817663817,0.14151827553889407,0.1523980277902286,0.18867924528301883,0
379,36,0.799,0.735,3,0.796,0.23639455782312924,0.1897675736961451,0.20443594104308394,0.19263666940246865,0.1391115080706159,0.1950264729075138,0.08832020997375323,0.05064378745109688,0.10725251324716478,1
380,37,0.789,0.719,3,0.7825,0.4423076923076923,0.39,0.39296296296296296,0.2928309854508264,0.3021180429547029,0.26815347563590775,0.1266666666666667,0.17543859649122806,0.16666666666666663,0
381,37,0.789,0.719,3,0.7825,0.19729181222344216,0.16273851830755703,0.21722061416641714,0.24342372300411608,0.21149920173663622,0.2466398273786795,0.13600960883616686,0.16273851830755703,0.1383499052737156,1
382,38,0.7815,0.7195,3,0.785,0.4245406824146981,0.4896653543307087,0.4954068241469817,0.3304686410802844,0.37462407138162485,0.3851102392001434,0.1436170212765957,0.23085106382978715,0.1851063829787234,0
383,38,0.7815,0.7195,3,0.785,0.23547483346559894,0.14434985450785176,0.14395305773994183,0.23977852810804756,0.18035397097181993,0.21361075994943274,0.10816607799150402,0.09778172879576152,0.1196392773614624,1
384,39,0.797,0.748,3,0.8015,0.5396825396825398,0.4285714285714286,0.49869536855838226,0.4238235294117647,0.2867647058823529,0.2313336120401338,0.1758160237388724,0.12307692307692308,0.08175074183976261,0
385,39,0.797,0.748,3,0.8015,0.21375597233117016,0.10904704176471985,0.20976253298153036,0.2174353106847386,0.13623961850506472,0.19535613128290474,0.11226535334661503,0.06960101303833133,0.0876137915104418,1
386,40,0.7728432873915263,0.731495661051557,3,0.7805002552322614,0.39475890985324946,0.02180293501048214,0.39643605870020965,0.24348114931074571,0.07465537286165089,0.18856917455572164,0.12732589048378518,0.02020202020202022,0.07921318447634229,0
387,40,0.7728432873915263,0.731495661051557,3,0.7805002552322614,0.1790929310511556,0.23160235953969638,0.23846823324630112,0.23838885129207707,0.19376143569691956,0.22490412812993457,0.14970526485788116,0.11845526485788116,0.12698643410852717,1
388,41,0.8095,0.7505,3,0.8155,0.38825757575757575,0.33901515151515155,0.3503787878787879,0.21550560922026238,0.2226236210481796,0.20631805127993225,0.11275955639452573,0.10059087953408163,0.13672217353198945,0
389,41,0.8095,0.7505,3,0.8155,0.14449904337173614,0.06850559524301114,0.2248007597968369,0.20449430539453042,0.14285857560646847,0.21354469633451145,0.09411898478129477,0.0626661958822321,0.08202620833009178,1
390,42,0.806,0.7455,3,0.7965,0.6092436974789915,0.434984520123839,0.593984962406015,0.31483843537414963,0.22569444444444442,0.35607993197278914,0.15121951219512186,0.06260162601626007,0.16428571428571426,0
391,42,0.806,0.7455,3,0.7965,0.14219536923317866,0.06063521430773966,0.11193630016732736,0.16383475229254976,0.12808058247375226,0.14931893960317172,0.04093740363860621,0.06063521430773966,0.04093740363860621,1
392,43,0.798,0.7565,3,0.805,0.7348484848484849,0.6384364820846905,0.8181818181818182,0.352972972972973,0.33842671194114315,0.377475947934352,0.24028122415219189,0.23076923076923073,0.23076923076923073,0
393,43,0.798,0.7565,3,0.805,0.29145285916683533,0.2855237936494708,0.27216553760432416,0.30899310403481295,0.275013440601653,0.31867033722494853,0.13936391603329712,0.13385812522620344,0.15191368078175893,1
394,44,0.7815405046480743,0.7304116865869854,3,0.7768924302788844,0.6,0.6,0.24767932489451472,0.19598337950138506,0.3317174515235457,0.21537396121883656,0.14536082474226808,0.20618556701030932,0.16082474226804122,0
395,44,0.7815405046480743,0.7304116865869854,3,0.7768924302788844,0.11977257192568191,0.06464585022979175,0.12861584211949184,0.148804904547571,0.009580517263273747,0.14991251957727203,0.11977257192568191,0.02476231902069226,0.10942645870875534,1
396,45,0.8095,0.77,3,0.813,0.3381642512077295,0.6340579710144928,0.3695652173913043,0.37228260869565216,0.5339673913043478,0.46648550724637683,0.106020942408377,0.24637681159420288,0.19764397905759157,0
397,45,0.8095,0.77,3,0.813,0.2578378028242,0.16366541434555426,0.16378416893379977,0.2568225901258823,0.20898610197360185,0.2544563507441688,0.06287531141542235,0.06827152447154494,0.12006656763132384,1
